Country,Human Development Index (HDI) ,HDI Group,HDI rank,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank 2018,Change in HDI rank (2014-2019),Inequality-adjusted HDI,Gender Inequality Index,"Maternal mortality ratio (2017, deaths per 100,000 live births)","Adolescent birth rate (2015-2020, births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),"Female population with at least some secondary education (2015-2019, % ages 25 and older)","Male population with at least some secondary education (2015-2019, % ages 25 and older)",Female labour force participation rate (% ages 15 and older),Male labour force participation rate (% ages 15 and older),Population (millions),Average annual population growth 2015-2020 (%),Urban population (%),Population under age 5 years (millions),Population age 15-64 years (millions),Population age 65+ years (millions),Median age (years),"Total fertility rate (2015-2020, births per woman)","Infants exclusively breastfed (2010-2019, % ages 0–5 months)",Infants lacking DTP immunization (% of one-year-olds),Infants lacking measles immunization (% of one-year-olds),"Child malnutrition - stunting (moderate or severe) (2010-2019, % under age 5)","Infant mortality (2018, per 1,000 live births)","Child under 5y mortality (2018, per 1,000 live births)","Adult female mortality (2018, per 1,000 people)","Adult male mortality (2018, per 1,000 people)","Female mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Male mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Malaria incidence (2018, per 1,000 people at risk)","Tuberculosis incidence (2018, per 100,000 people)","HIV prevalence, adult (2018, % ages 15–49)",Healthy life expectancy at birth (years),"Current health expenditure (2017, % of GDP)","Adult literacy rate (2008-2018, % ages 15 and older)","Female youth literacy rate (2008-2018, % ages 15–24)","Male youth literacy rate (2008-2018, % ages 15–24)","Population with at least some secondary education (2015-2019, % ages 25 and older)","Pre-primary gross enrollment ratio (2014-2019, % of preschool-age children)","Primary gross enrollment ratio (2014-2019, % of primary school–age population)","Secondary gross enrollment ratio (2014-2019, % of secondary school–age population)","Tertiary gross enrollment ratio (2014-2019, % of tertiary school–age population)","Government expenditure on education  (2013-2018, % of GDP)",Total GDP (2017 PPP $ billions),Per capita GDP (2017 PPP $ billions),Annual growth in per capita GDP (%),"Total tax revenue (2014-2019, % of GDP)",Consumer price index (2010=100),Employment to population ratio (% ages 15 and older),"Prison population (2013-2018, per 100,000 people)","Homicide rate (2013-2018, per 100,000 people)","Female suicide rate (2016, per 100,000 people)","Male suicide rate (2016, per 100,000 people)","Depth of food deficit (Average dietary energy supply adequacy, 2017/2019, %)",Exports and imports (% of GDP),"Net migration rate (2015/2020, per 1,000 people)",Stock of immigrants (% of population),"Internet users (2018, % of population)","Female internet users (2018, % of female population)","Mobile phone subscriptions (2018, per 100 people)","Mobile phone subscriptions (2010-2018, % change)"
country,hdi,hdi_group,hdi_rank,life,educ_expected,educ_mean,gni,gni_rank_minus_hdi_rank,hdi_rank_18,hdi_change_1419,hdi_ineq,gii,mort_maternal,birth_adol,parl_f,educ_f,educ_m,labor_f,labor_m,pop,pop_change,urban,pop_lt5,pop_15_64,pop_ge65,age_median,fertility,breast,dtp_vax_no,measles_vax_no,stunt,mort_infant,mort_lt5,mort_adult_f,mort_adult_m,mort_ncd_f,mort_ncd_m,malaria,tb,hiv,life_healthy,cur_health_expen,literacy_adult,literacy_youth_f,literacy_youth_m,educ,educ0,educ1,educ2,educ3,educ_spending,gdp_total,gdp_percap,gdp_percap_growth,tax,cpi,employ,prison,homicide,suicide_f,suicide_m,food_deficit,trade,migration,immigrant,internet,internet_f,phone,phone_change
Norway,0.957,Very high,1,82.4,18.06615,12.89775,66494.25217,7,1,0,0.899,0.045,2,5.141,40.82840237,95.3928,94.8599762,60.37,67.192,5.378859,0.834,82.6,0.301197,3.513165,0.929073,39.836,1.68,..,1,3,..,2.054028,2.542996,38.861,62.494,261.9,365.4,..,4.1,0.1,70.837303,10.446342,..,..,..,94.92075574,95.36525,100.26021,116.87442,81.99235,7.9761,340.3032114,63633.10196,0.474165157,23.86175,120.2696589,61.669,79.8,0.468343712,6.5,13.6,133,72.1465,5.273,16.13288846,96.4917,97,107.174,-7.427
Ireland,0.955,Very high,2,82.31,18.70529,12.6663305,68370.58737,4,3,7,0.885,0.093,5,7.515,24.31192661,81.92398,79.94372604,55.973,68.365,4.882498,1.191,63.4,0.321521,3.155396,0.694436,38.246,1.8409,..,2,9,..,3.137176,3.657057,41.591,71.299,299.7,404.9,..,7,0.2,70.352336,7.184383,..,..,..,81.11964622,163.43983,100.85278,125.30712,77.78062,3.71973,428.8253809,86781.3904,3.966385124,18.26235,106.5843263,59.008,82.2,0.87160546,4.2,17.6,150,239.2151,4.923,17.07250084,84.5223,85.7,103.171,-0.06
Switzerland,0.955,Very high,2,83.78,16.32844,13.38081241,69393.52076,3,2,0,0.889,0.025,5,2.763,38.61788618,95.56618,96.75691,62.904,73.754,8.591361,0.845,73.8,0.448925,5.689315,1.618437,43.053,1.535,..,2,5,..,3.661978,4.123066,35.896,58.204,237,343.2,..,6.4,..,72.023775,12.346322,..,..,..,96.14852,103.58897,105.19068,102.48743,59.56299,5.11332,588.4721015,68627.82868,0.216690541,10.08093,99.54691302,65.126,77.4,0.586468024,6.9,15.8,134,119.4385,6.135,29.93737316,89.6861,88.5231,129.609,6.103
"Hong Kong, China (SAR)",0.949,Very high,4,84.86,16.92947,12.27996,62984.76553,7,4,7,0.824,..,..,2.705,..,77.0914338,82.9151,53.984,67.507,7.436157,0.847,100,0.34533,5.218336,1.301201,44.79,1.3262,..,..,..,..,..,..,33.104,61.901,..,..,..,67,..,..,..,..,..,..,79.40018,106.40481,108.61767,107.48979,76.92223,3.32259,449.6397022,59892.866,-1.930604108,..,134.5930529,57.893,111.7,0.651136341,..,..,137,352.8222,3.992,39.56687825,89.4159,88.0177,259.426,61.42
Iceland,0.949,Very high,4,82.99,19.08309,12.77278684,54682.38057,14,4,4,0.894,0.058,4,6.269,38.0952381,100,100,70.846,79.225,0.339037,0.656,93.9,0.020713,0.220924,0.051502,37.491,1.77,..,3,7,..,1.532353,1.961822,38.181,65.669,283.6,351.8,..,2.7,0.1,72.315244,8.326291,..,..,..,100,94.08853,100.35144,117.51671,71.84501,7.45988,20.1879847,55873.95057,-0.504942727,23.4449,129.0033312,72.9,40.4,0.890969137,4.7,21.7,145,85.91668,1.132,15.45699361,99.011,99.413,126.137,19.66
Germany,0.947,Very high,6,81.33,16.97719,14.15168,55314.35355,11,4,-3,0.869,0.084,7,8.095,31.61953728,95.85821,96.32719,55.275,66.565,83.517046,0.482,77.4,3.987424,53.983518,18.008544,45.744,1.586,..,2,3,1.7,3.087433,3.660457,48.026,86.511,295.9,445.5,..,7.3,0.1,69.719783,11.246835,..,..,..,96.08825,109.1274,104.02236,98.40928,70.24665,4.80093,4473.821955,53815.3654,0.289556721,11.5059,112.8548873,58.961,79.1,0.947976619,4.8,13.6,138,88.09866,6.569,15.72391121,89.7391,84.1628,129.324,19.955
Sweden,0.945,Very high,7,82.8,19.48234,12.54847,54507.80504,12,7,-3,0.882,0.039,4,5.076,47.27793696,89.28605,89.54352356,61.384,67.766,10.036391,0.673,87.7,0.597668,6.240216,2.027215,41.078,1.85,..,2,3,..,2.194107,2.709537,38.431,62.062,273.4,369.8,..,5.5,..,71.388579,11.018746,..,..,..,89.30195,96.32934,126.57538,152.86068,66.98824,7.66993,547.2381029,53205.05601,0.110251761,27.91103,110.5092198,60.381,61.3,1.083072677,7.4,15.8,127,90.4859,4.027,19.97941688,92.1417,93.6805,125.12,8.057
Australia,0.944,Very high,8,83.44,21.95433,12.72469119,48084.84207,15,7,-2,0.867,0.097,6,11.715,36.56387665,91.02507,90.94452,60.3,70.855,25.2032,1.269,86.1,1.654865,16.332508,4.012686,37.875,1.8316,..,2,5,2,3.107906,3.688607,44.673,75.835,247.1,342.5,..,6.6,0.1,70.305492,9.205948,..,..,..,90.98537,164.55399,100.33898,150.31148,113.14216,5.27163,1262.034238,49756.30671,0.363735767,22.98582,119.7970864,62.067,172.6,0.891632403,6,17.4,134,45.68621,6.403,29.95361938,86.545,86.1214,113.579,12.02
Netherlands,0.944,Very high,8,82.28,18.48513,12.4148,57707.06867,6,9,-1,0.878,0.043,5,3.788,33.77777778,87.57493,90.31986,58.263,69.083,17.097123,0.231,91.9,0.863311,11.029553,3.351955,43.314,1.66,..,2,6,..,3.297283,3.873533,51.048,65.56,295.1,396.5,..,5.3,..,70.622871,10.100835,..,..,..,88.921,94.288,104.22962,135.57512,84.98045,5.4796,990.4227999,57141.37028,1.21591708,23.03592,115.9079949,61.587,65.9,0.58618159,6.4,12.9,126,154.3223,0.939,13.3518959,94.7121,94.5693,124.27,9.308
Denmark,0.94,Very high,10,80.9,18.89342,12.61380326,58661.87084,2,10,-6,0.883,0.038,4,4.123,39.10614525,91.15192,90.88383,58.248,66.285,5.771877,0.361,88,0.302354,3.67286,1.152372,42.298,1.7621,..,3,4,..,3.599228,4.223439,51.652,82.426,300.6,421.6,..,5.4,0.1,69.922502,10.108279,..,..,..,90.94939381,95.91547,101.26809,129.07748,80.61602,7.63485,332.7292604,57184.19345,1.927481489,32.38232,110.3472904,59.162,63.2,1.008321959,5.2,13.2,132,105.0017,2.648,12.52414293,97.6443,97.4618,125.119,9.53
Finland,0.938,Very high,11,81.91,19.39712,12.82413,48511.3978,11,11,-2,0.888,0.047,3,5.813,47,100,100,55.542,62.773,5.532159,0.216,85.4,0.271068,3.421245,1.224864,43.128,1.53,..,2,4,..,1.379713,1.695368,44.026,89.21,274.8,440.5,..,4.7,0.1,70.337197,9.206939,..,..,..,100,83.58174,100.15464,153.96358,88.19783,6.89735,268.4036757,48621.08854,0.891979689,20.83904,112.3317121,55.185,53.5,1.629671612,6.8,20.8,132,79.46667,2.54,6.925256627,88.89,87.6452,132.185,-24.176
Singapore,0.938,Very high,11,83.62,16.44088,11.62461,88155.21431,-8,12,0,0.813,0.065,8,3.53,23,78.09105,85.05447,61.97,78.298,5.804343,0.903,100,0.24996,4.369246,0.719331,42.226,1.209,..,2,5,..,2.255966,2.808721,34.939,59.839,201.7,300.5,..,47,0.2,74.481351,4.440383,97.34486,99.94237,99.91742,81.42356,..,100.62695,107.5746,84.79291,2.85435,555.193783,97341.46865,-0.412794668,13.14172,114.4057859,67.64,207.8,0.156317765,4.9,11.1,..,319.1484,4.724,37.13866028,88.1656,87.5644,145.707,1.791
United Kingdom,0.932,Very high,13,81.32,17.49843,13.24287,46070.64481,13,14,0,0.856,0.118,7,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11,67.530161,0.606,83.7,3.951056,43.081246,12.499006,40.467,1.75,..,3,9,..,3.630929,4.257914,55.36,86.107,295.1,396,..,8,..,69.108907,9.631694,..,..,..,78.79872144,106.38731,101.15456,125.85187,59.99557,5.48697,3121.120096,46699.30249,0.841074871,25.50529,119.6227113,60.357,137.0831537,1.204914777,3.5,11.9,137,64.25368,3.898,14.14495139,94.8967,95.2607,117.549,-3.362
Belgium,0.931,Very high,14,81.63,19.77438,12.05027,52084.59209,6,13,1,0.859,0.043,5,4.651,43.33333333,84.72241,88.38187,48.608,58.699,11.539326,0.528,98,0.635943,7.377733,2.193175,41.928,1.7148,..,1,4,..,2.930281,3.651542,49.245,80.262,270.7,409.5,..,9,..,69.719083,10.338669,..,..,..,86.59634993,115.14532,103.90557,158.54185,79.66173,6.54513,593.8151261,51707.7919,0.901135132,23.99411,117.1104572,50.569,87.7,1.690054215,9.4,22.2,148,163.2932,4.196,17.17534158,88.6551,87.2604,103.439,-7.671
New Zealand,0.931,Very high,14,82.29,18.83857,12.78207732,40798.7196,18,14,3,0.859,0.123,9,19.27,40.83333333,97.38831267,96.85121934,64.772,75.335,4.783062,0.881,86.6,0.301436,3.082175,0.765003,37.973,1.9,..,6,8,..,4.725437,5.698018,..,..,269.7,355.3,..,7.3,0.1,69.586543,9.170055,..,..,..,97.16536525,91.46968,99.97476,114.59004,82.03322,6.44277,210.8779268,42887.51817,0.591764568,28.97543,114.2409118,67.063,206.2,0.744359509,6.2,17.3,126,55.94195,3.154,22.34423841,90.8111,82.1509,134.932,27.153
Canada,0.929,Very high,16,82.43,16.15789,13.36610479,48527.03573,5,14,-1,0.848,0.08,10,8.387,33.18284424,100,100,60.836,69.422,37.411038,0.93,81.5,1.979865,24.880621,6.602325,41.124,1.525,..,6,10,..,4.347857,4.973348,51.763,82.625,248.7,340.6,..,5.6,..,70.449017,10.572769,..,..,..,100,..,100.94368,113.76286,68.92251,..,1843.053387,49031.37994,0.218665448,12.91361,116.7572982,61.451,107.7,1.755921136,5.8,15.1,139,64.97671,6.562,21.27889391,91,..,89.231,13.6022
United States,0.926,Very high,17,78.86,16.31039,13.41344,63825.65748,-7,17,-3,0.808,0.204,19,19.86,23.72881356,96.07597,95.97922,56.126,68.186,329.064917,0.621,82.5,19.604088,214.68551,53.340089,38.308,1.7764,34.7,3,10,3.5,5.605352,6.532755,81.935,139.141,353.5,492.3,..,3,..,65.431784,17.061269,..,..,..,96.02937,72.93408,101.82144,98.95234,88.16739,4.96174,20574.97249,62682.80034,1.849711435,9.58665,117.2441955,59.765,662.5,4.956950548,6.4,21.1,148,26.38873,2.929,15.39548775,87.2661,74.8821,123.688,31.4202
Austria,0.922,Very high,18,81.54,16.09207,12.5461436,56196.89869,-3,18,0,0.857,0.069,5,7.34,38.52459016,100,99.78705411,55.059,66.573,8.955108,0.741,58.5,0.442321,5.960766,1.708212,43.483,1.5292,..,10,6,..,2.883643,3.522741,41.779,79.032,272.2,411.4,..,7.1,..,70.604426,10.396617,..,..,..,99.96717462,104.38375,103.11315,100.45521,85.05714,5.5007,500.2444258,56352.44454,1.194628903,25.40555,118.0579798,57.848,103.1,0.967228608,5.7,17.5,145,107.7247,7.351,19.87534034,87.7105,85.6636,123.535,-22.019
Israel,0.919,Very high,19,82.97,16.16283,13.0348541,40186.84583,14,21,1,0.814,0.109,3,9.607,23.33333333,87.94330874,90.69420266,59.693,68.547,8.519373,1.629,92.5,0.846797,5.103595,1.040103,30.484,3.044,..,1,2,..,2.957108,3.73237,39.638,70.873,255.5,366.4,..,4,0.2,71.818152,7.407464,..,..,..,89.27876052,110.79816,104.90112,105.08456,63.35469,5.8493,363.5978975,40161.91858,1.564612927,23.06785,108.150134,61.569,231.2,1.492021506,2.4,8.2,152,58.46463,1.202,22.96348665,81.5812,80.2276,127.662,3.643
Japan,0.919,Very high,19,84.63,15.23057,12.85,42931.69575,9,20,2,0.843,0.094,5,3.78,14.50704225,95.27327069,92.27957105,52.738,71.28,126.860299,-0.237,91.7,4.905574,75.386113,35.524139,48.358,1.3697,..,1,4,7.1,1.811324,2.489685,35.709,66.483,180.1,320.2,..,14,0.1,73.842608,10.935933,..,..,..,93.76192708,..,..,..,..,3.18618,5231.066131,41429.28753,0.864738283,11.90593,105.4821721,60.312,39.8,0.262574096,8.1,20.5,111,36.81651,0.562,1.96979747,84.5881,89.7307,139.201,43.2893
Liechtenstein,0.919,Very high,19,80.67,14.90233,12.53854,131031.5898,-18,19,0,..,..,..,..,12,..,..,..,..,0.03802,0.35,14.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.06667,104.69974,117.09433,35.62193,..,..,..,..,..,..,..,165.8,2.637269898,..,..,..,..,..,66.98492859,98.1,..,124.648,26.0205
Slovenia,0.917,Very high,22,81.32,17.57206,12.65874,38079.53399,15,24,2,0.875,0.063,7,3.776,22.30769231,97.2491,98.32048,53.401,63.426,2.078654,0.075,54.8,0.102882,1.34506,0.419601,44.539,1.6,..,2,6,..,1.732558,2.143252,45.488,90.934,274.6,447.5,..,5.3,0.1,70.381514,8.187018,99.7,99.9,99.79,97.77278,91.72831,100.39674,115.60043,78.589,4.80289,80.78009052,38688.78339,1.753544524,18.627,111.0510749,55.913,67.2,0.481269937,4.5,22.4,129,159.7361,0.964,12.17720698,79.75,77.5712,118.674,14.827
Korea (Republic of),0.916,Very high,23,83.03,16.48165,12.21376462,43043.71057,4,22,-1,0.815,0.064,11,1.379,16.66666667,80.43655096,95.46899485,52.892,73.102,51.225321,0.175,81.4,1.9695,36.981287,7.714626,43.734,1.11,..,2,2,2.5,2.727665,3.191755,32.342,79.266,197.6,358,0.13987,66,..,72.326136,7.603864,..,..,..,86.04469609,94.9852,98.0886,100.33825,94.34969,4.59437,2205.970737,42661.17226,1.830965529,15.57491,115.1585874,60.358,105.9,0.603849393,11.6,29.6,139,76.7094,0.23,2.271640807,95.8983,94.6165,129.673,27.207
Luxembourg,0.916,Very high,23,82.25,14.25582,12.31145,72711.67412,-19,23,0,0.826,0.065,5,4.727,25,100,100,54.914,63.67,0.61573,1.988,91.2,0.033087,0.431125,0.087891,39.729,1.45,..,1,1,..,1.942366,2.424876,41.193,66.343,247.7,371.9,..,8,0.3,70.993422,5.481074,..,..,..,100,91.90925,102.28595,103.65505,19.15177,3.95519,70.96664473,114481.5336,0.325616691,26.50427,115.0878151,56.146,107.6,0.337886923,5.8,15,128,381.5166,16.334,47.37847332,97.0613,95.973,132.165,-10.977
Spain,0.904,Very high,25,83.57,17.61613,10.25178,40974.52408,6,25,1,0.783,0.07,4,7.725,41.85667752,75.37,80.23754,51.853,63.429,46.736782,0.035,80.6,2.016208,30.741047,9.18307,44.858,1.33,..,2,2,..,2.534473,3.034473,37.537,74.537,225.7,384.3,..,9.4,0.3,71.597874,8.87313,98.4365,99.7439,99.6885,77.72236,92.45296,102.71029,126.0045,88.85301,4.20911,1924.655355,40883.32536,1.374664109,14.24821,110.961519,49.467,126.1,0.621079928,3.1,9.3,131,66.91707,0.856,13.06081318,86.1072,85.6031,115.871,6.371
France,0.901,Very high,26,82.66,15.64217,11.4795,47172.53748,-1,26,-1,0.82,0.049,8,4.727,36.86486486,81.69858,86.77103016,50.752,59.906,65.129731,0.253,80.7,3.669257,40.254241,13.281106,42.338,1.8523,..,1,10,..,3.379809,4.04425,48.187,95.352,222.7,369.1,..,8.9,0.3,71.502115,11.312892,..,..,..,84.02119,105.98598,102.51076,103.76003,65.629,..,3097.061752,46183.52179,1.366344017,24.22998,110.0485668,50.48,106.4,1.198636503,6.5,17.9,142,64.52273,0.563,12.79734348,82.0435,80.4143,108.408,16.51
Czechia,0.9,Very high,27,79.38,16.78511,12.72238228,38108.56662,9,26,-1,0.86,0.136,3,11.972,20.6405694,99.98682,99.90271,52.939,68.548,10.689213,0.202,73.9,0.555584,6.891998,2.116558,43.203,1.6413,..,1,8,..,2.66688,3.373006,51.325,108.785,331.3,541.2,..,5.4,0.1,68.601746,7.231339,..,..,..,99.97742903,106.41897,100.67099,103.49158,64.07869,5.58738,430.1410866,40314.2285,2.183523868,14.88648,116.475542,59.388,202.3,0.620240593,4.2,17.2,128,144.8765,2.066,4.796472779,80.6882,78.675,119.174,-3.581
Malta,0.895,Very high,28,82.53,16.10407,11.32613,39554.52078,6,28,2,0.823,0.175,6,12.879,14.92537313,78.70788,85.57332,46.047,67.06,0.440377,0.365,94.7,0.021657,0.285602,0.091676,42.596,1.45,..,2,4,..,6.090878,7.019245,35.056,63.699,287.5,410.8,..,14,..,71.065196,9.340999,94.50319,99.56088,99.05695,82.17869,107.71926,104.99837,104.75412,54.25992,5.20455,21.78508141,43340.19972,0.641326286,26.22825,113.4524741,54.564,141,1.593607358,2.8,10.3,137,261.0121,2.057,19.29028185,81.4031,81.4792,140.204,30.228
Estonia,0.892,Very high,29,78.75,15.989,13.14306146,36019.26692,9,30,2,0.829,0.086,9,7.698,29.7029703,100,100,57.102,71.008,1.325649,0.17,69.1,0.069037,0.842394,0.26501,42.424,1.5878,..,8,12,..,2.079275,2.647355,56.077,154.542,335.1,659.7,..,13,0.9,68.12886,6.429358,99.88579,99.95904,99.93924,100,92.38737,97.23017,117.52009,69.63503,5.17316,48.69966398,36710.41089,3.971681338,20.87575,122.1423128,60.308,195.3,2.116541299,4.4,25.6,127,141.1542,2.961,14.35086841,89.357,89.2705,145.438,21.363
Italy,0.892,Very high,29,83.51,16.0889,10.37955,42776.35692,0,29,-1,0.783,0.069,2,5.24,35.26315789,75.89580065,83.35229244,40.759,58.997,60.550092,-0.039,70.7,2.382555,38.643719,13.933984,47.288,1.33,..,5,6,..,2.593637,3.031152,37.246,65.423,250.2,375.9,..,7,0.3,71.237896,8.840259,99.15576,99.95,99.92,79.7274824,93.95802,101.87936,101.27041,61.933,3.82926,2557.37323,42412.66455,0.508128535,24.25046,110.6235956,44.655,100.8,0.569050661,2.6,8.4,139,60.13943,2.461,10.3612126,74.3872,71.7819,137.467,-20.419
United Arab Emirates,0.89,Very high,31,77.97,14.3441,12.11122,67462.0953,-24,30,6,..,0.079,3,6.546,50,76.02257,81.02851,52.391,93.389,9.770526,1.311,86.8,0.50075,8.218617,0.113021,32.621,1.42,..,1,1,..,6.491122,7.588882,44.863,69.555,460,517.2,0,1,..,64.379104,3.334282,93.22714,99.11,99.64,78.91768,77.97611,108.39706,104.94793,..,..,655.7894319,67119.13264,0.225275019,0.05931,114.5246605,80.166,106.6,0.463782488,0.8,3.5,125,160.9361,4.177,87.88936607,98.45,98.8,208.505,80.715
Greece,0.888,Very high,32,82.24,17.90792,10.55207,30154.63438,14,33,-3,0.791,0.116,3,7.223,20.66666667,62.01142044,73.20012,44.168,59.779,10.473452,-0.449,79.4,0.419667,6.719952,2.298057,45.55,1.3024,..,1,3,..,3.627613,4.450072,42.478,93.96,265,424.9,..,4.5,..,69.911484,8.04139,97.93595,99.07,99.26,64.82849046,74.3543,99.55348,104.49627,136.60257,..,324.8606536,30314.56628,2.028291371,26.19352,101.9493921,42.844,101.3,0.940863945,1.5,6.1,133,74.38447,-1.518,11.56621191,72.9521,71.0702,115.667,2.762
Cyprus,0.887,Very high,33,80.98,15.16887,12.17123,38206.84049,2,32,0,0.805,0.086,6,4.582,17.85714286,79.93714,83.76539,57.835,68.346,1.198574,0.783,66.8,0.065347,0.829949,0.168378,37.25,1.3375,..,2,14,..,1.867361,2.383076,32.883,64.711,306,487.3,..,5.4,..,69.899815,6.684569,98.67843,99.83831,99.80454,81.77329,83.71259,99.30669,100.33255,75.94081,6.29136,34.86927457,39544.68185,1.860235753,24.49603,102.5109919,58.472,52.1,1.261286411,1.9,7.2,103,142.643,4.222,16.01251486,84.4336,84.5601,100.934,-23.999
Lithuania,0.882,Very high,34,75.93,16.63731,13.07721,35798.67041,5,35,0,0.791,0.124,8,10.854,21.27659574,94.29903,97.43829842,56.538,67.74,2.759631,-1.483,67.9,0.147187,1.785699,0.556227,45.051,1.6698,..,4,7,..,3.25872,4.035743,78.821,212.885,390.9,800.1,..,44,..,66.563161,6.457564,99.8156,99.86662,99.84547,95.88641947,88.18839,103.87475,108.40176,72.41746,4.00847,103.0434074,36974.94634,4.478581131,16.85609,118.3820983,57.704,231.5,4.569356042,6.7,47.5,138,150.5807,-11.595,4.247603028,79.7226,79.8985,164.279,7.708
Poland,0.88,Very high,35,78.73,16.30117063,12.47232,31622.55302,8,34,0,0.813,0.115,2,10.538,27.85714286,83.14769421,88.50989554,48.629,65.459,37.887771,-0.099,60,1.878805,25.270301,6.864055,41.678,1.4202,..,2,7,2.6,3.803967,4.448728,61.842,160.653,347.2,628.1,..,16,..,68.117783,6.541954,98.74274,99.81581,99.77874,85.7883782,81.14455,100.0159,109.93363,67.82744,4.63931,1256.319158,33086.39033,4.157654901,17.40196,114.1117794,54.731,192,0.7304547,3.4,23.9,140,106.2425,-0.775,1.73138993,77.5417,77.304,134.748,12.253
Andorra,0.868,Very high,36,81.91,13.30023874,10.50176,56000.30336,-20,36,-4,..,..,..,..,46.42857143,71.48419414,73.32658,..,..,0.077146,-0.192,88,..,..,..,..,..,..,1,1,..,2.741686,2.893017,..,..,..,..,..,3,..,70.878305,10.320552,..,..,..,72.32676,..,..,..,..,3.22691,..,..,1.669679827,..,..,..,63.6,0,..,..,..,..,..,58.46620518,91.5675,90.2708,107.283,29.7273
Latvia,0.866,Very high,37,75.29,16.16769,13.03085,30282.39353,8,37,3,0.783,0.176,19,16.171,30,100,100,55.721,68.383,1.90674,-1.148,68.2,0.112516,1.208021,0.387774,43.941,1.7167,..,1,1,..,3.299729,3.862203,85.367,228.584,413.4,790.3,..,29,0.4,66.316512,5.955662,99.88931,99.86,99.78,100,95.61825,99.36784,110.72325,88.05743,4.71957,58.97145802,30830.09052,2.966010701,22.88849,116.8569846,57.408,182.7,4.355804966,5.1,31,128,119.7301,-7.64,12.4435228,83.5772,83.9624,107.349,-1.488
Portugal,0.864,Very high,38,82.05,16.53579,9.26347,33966.82756,2,38,-1,0.761,0.075,8,8.38,38.69565217,53.86539,54.81408,54.195,64.082,10.226178,-0.334,65.8,0.406298,6.584693,2.286358,46.158,1.288,..,1,1,..,3.101656,3.746524,42.442,103.994,245,424.7,..,24,0.5,70.209961,8.969574,96.13759,99.70156,99.62657,54.30303,93.88086,106.18313,119.91319,63.93581,4.88294,357.3551144,34797.99431,2.307710485,22.75518,110.6243586,55.086,127,0.789766806,3.8,14.3,139,87.64121,-0.584,8.685172685,74.661,73.0328,115.636,0.401
Slovakia,0.86,Very high,39,77.54,14.48704,12.69315651,32113.04569,3,39,-2,0.807,0.191,5,25.684,20,99.20638,100,52.182,67.442,5.457012,0.088,53.7,0.28388,3.727144,0.882511,41.249,1.502,..,1,4,..,4.630206,5.585907,64.214,144.821,367.9,635,..,5.8,0.1,67.611916,6.742535,..,..,..,99.2805,95.21526,98.73205,91.06786,46.63439,3.90267,178.852989,32792.55504,2.26147602,18.70197,115.3389877,56.23,188.8,1.136985269,2.6,18.4,108,185.2499,0.273,3.444814956,80.6603,80.5929,132.802,23.167
Hungary,0.854,Very high,40,76.88,15.20418,11.96329,31328.80599,4,42,1,0.791,0.233,12,23.979,12.56281407,96.40590548,98.44703744,48.469,65.503,9.68468,-0.242,71.6,0.457139,6.379505,1.907368,43.336,1.4911,..,1,1,..,3.571964,4.27063,80.586,168.058,444.6,773.4,..,6.4,0.1,66.78986,6.87999,99.1,99,98.69,97.37776958,82.28416,100.80547,103.48996,48.50038,4.71078,318.7235894,32622.85089,4.988096535,22.95338,121.6420474,54.548,174.6,2.487198635,6.2,22.2,127,162.9805,0.617,5.287144778,76.0744,74.8465,103.445,-17.552
Saudi Arabia,0.854,Very high,40,75.13,16.13575,10.22517,47495.42697,-16,40,-4,..,0.252,17,7.324,19.86754967,64.78652,72.38120855,22.115,78.372,34.268529,1.863,84.1,2.996924,24.579891,1.169371,31.797,2.34,..,4,5,..,6.033653,7.056381,76.148,91.872,508.5,609.5,0.02259,10,..,64.481133,5.230253,95.32863,99.28044,99.32152,68.84821,21.23175,99.7699,110.08628,68.03989,..,1609.323461,46962.14149,-1.333256379,8.92575,118.3998255,52.568,205.6,1.265815787,1.7,4.6,132,62.16307,4.058,38.29268068,93.31,91.4001,122.573,-65.471
Bahrain,0.852,Very high,42,77.29,16.25482,9.5192,42521.70451,-12,41,6,..,0.212,14,13.368,18.75,68.06703,74.3448,44.96,87.174,1.641164,4.308,89.4,0.108321,1.292844,0.041315,32.456,1.9982,..,1,1,..,6.06638,7.094626,56.217,72.073,430.1,449.5,..,11,..,66.587518,4.748105,97.46419,99.30134,99.97614,72.34712,53.66259,99.36305,98.59907,50.4819,2.32721,73.89503562,45025.77159,-2.630801304,..,117.5910781,72.838,233.3,0.523923468,2.1,7.9,..,151.4049,31.105,45.16047069,98.6434,98.5041,133.341,7.058
